word,unified_rank,moe_level,ngsl_rank
the,1,1,1
of,2,1,2
and,3,1,3
to,4,1,4
in,5,1,6
for,6,1,7
is,7,1,8
on,8,1,9
that,9,1,10
by,10,1,11
this,11,1,12
with,12,1,13
you,13,1,15
it,14,1,16
not,15,1,17
or,16,1,18
be,17,1,19
are,18,1,20
from,19,1,21
at,20,1,22
as,21,1,23
your,22,1,24
all,23,1,25
have,24,1,26
new,25,1,27
more,26,1,28
we,27,1,31
will,28,1,32
home,29,1,33
can,30,1,34
us,31,1,35
about,32,1,36
if,33,1,37
page,34,1,38
my,35,1,39
search,36,1,41
free,37,1,42
but,38,1,43
our,39,1,44
one,40,1,45
other,41,1,46
do,42,1,47
no,43,1,48
information,44,1,49
time,45,1,50
they,46,1,51
he,47,1,53
up,48,1,54
may,49,1,55
what,50,1,56
which,51,1,57
their,52,1,58
news,53,1,59
out,54,1,60
use,55,1,61
any,56,1,62
there,57,1,63
see,58,1,64
only,59,1,65
so,60,1,66
his,61,1,67
when,62,1,68
contact,63,1,69
here,64,1,70
business,65,1,71
who,66,1,72
also,67,1,74
now,68,1,75
help,69,1,76
get,70,1,77
pm,71,1,78
view,72,1,79
online,73,1,80
first,74,1,83
am,75,1,84
would,76,1,86
how,77,1,87
me,78,1,89
some,79,1,92
these,80,1,93
click,81,1,94
its,82,1,95
like,83,1,96
service,84,1,97
than,85,1,99
find,86,1,100
price,87,1,101
date,88,1,102
back,89,1,103
top,90,1,104
people,91,1,105
list,92,1,107
name,93,1,108
just,94,1,109
over,95,1,110
year,96,1,112
day,97,1,113
into,98,1,114
email,99,1,115
two,100,1,116
health,101,1,117
world,102,1,119
next,103,1,121
used,104,1,122
go,105,1,123
work,106,1,125
last,107,1,126
most,108,1,127
music,109,1,129
buy,110,1,130
data,111,1,131
make,112,1,132
them,113,1,133
should,114,1,134
product,115,1,135
system,116,1,136
post,117,1,137
her,118,1,138
city,119,1,139
add,120,1,141
policy,121,1,142
number,122,1,143
such,123,1,144
please,124,1,145
available,125,1,146
support,126,1,148
message,127,1,149
after,128,1,150
best,129,1,151
then,130,1,153
good,131,1,155
video,132,1,156
well,133,1,157
where,134,1,159
public,135,1,162
high,136,1,164
school,137,1,165
through,138,1,166
each,139,1,168
she,140,1,170
review,141,1,171
order,142,1,173
very,143,1,174
book,144,1,176
company,145,1,178
read,146,1,180
group,147,1,181
need,148,1,183
many,149,1,184
user,150,1,185
set,151,1,189
under,152,1,190
general,153,1,191
research,154,1,192
university,155,1,193
january,156,1,194
mail,157,1,195
full,158,1,196
map,159,1,197
program,160,1,199
life,161,1,200
know,162,1,201
way,163,1,203
part,164,1,207
could,165,1,208
great,166,1,209
hotel,167,1,211
real,168,1,212
international,169,1,215
center,170,1,216
must,171,1,218
store,172,1,219
travel,173,1,220
report,174,1,224
off,175,1,225
member,176,1,226
line,177,1,228
before,178,1,230
send,179,1,233
right,180,1,234
type,181,1,235
because,182,1,236
local,183,1,237
those,184,1,238
office,185,1,241
education,186,1,242
national,187,1,243
car,188,1,244
take,189,1,246
internet,190,1,248
address,191,1,249
within,192,1,251
area,193,1,253
want,194,1,254
phone,195,1,255
subject,196,1,259
between,197,1,260
family,198,1,262
long,199,1,264
show,200,1,268
even,201,1,270
black,202,1,271
check,203,1,272
special,204,1,273
much,205,1,279
sign,206,1,280
open,207,1,283
today,208,1,284
south,209,1,286
case,210,1,287
project,211,1,288
same,212,1,289
section,213,1,293
own,214,1,294
house,215,1,297
both,216,1,300
county,217,1,302
american,218,1,303
photo,219,1,304
game,220,1,305
power,221,1,307
while,222,1,308
care,223,1,309
down,224,1,311
computer,225,1,312
three,226,1,314
total,227,1,315
place,228,1,316
end,229,1,317
following,230,1,318
download,231,1,319
him,232,1,321
without,233,1,322
think,234,1,325
north,235,1,326
current,236,1,328
big,237,1,330
law,238,1,332
control,239,1,333
water,240,1,334
history,241,1,335
size,242,1,337
art,243,1,338
personal,244,1,339
since,245,1,340
including,246,1,341
guide,247,1,342
shop,248,1,343
board,249,1,345
change,250,1,347
white,251,1,348
small,252,1,350
government,253,1,353
during,254,1,355
usa,255,1,356
return,256,1,357
level,257,1,364
form,258,1,368
love,259,1,370
old,260,1,371
main,261,1,373
call,262,1,374
department,263,1,377
title,264,1,378
another,265,1,384
why,266,1,385
shall,267,1,386
class,268,1,388
cd,269,1,389
still,270,1,390
money,271,1,391
quality,272,1,392
every,273,1,393
country,274,1,396
private,275,1,397
little,276,1,398
visit,277,1,399
save,278,1,400
low,279,1,402
reply,280,1,403
customer,281,1,404
december,282,1,405
compare,283,1,406
include,284,1,408
college,285,1,409
value,286,1,410
article,287,1,411
man,288,1,413
card,289,1,414
provide,290,1,416
food,291,1,418
source,292,1,419
different,293,1,421
press,294,1,422
learn,295,1,424
sale,296,1,425
around,297,1,426
print,298,1,427
course,299,1,428
job,300,1,429
canada,301,1,430
process,302,1,431
room,303,1,433
too,304,1,436
credit,305,1,437
point,306,1,438
join,307,1,439
science,308,1,440
west,309,1,444
look,310,1,446
english,311,1,447
left,312,1,448
team,313,1,449
box,314,1,451
week,315,1,458
note,316,1,460
live,317,1,461
large,318,1,462
table,319,1,464
however,320,1,466
june,321,1,467
october,322,1,468
november,323,1,469
market,324,1,470
library,325,1,471
really,326,1,472
action,327,1,473
start,328,1,474
model,329,1,476
air,330,1,478
industry,331,1,479
plan,332,1,480
human,333,1,481
tv,334,1,483
yes,335,1,484
second,336,1,486
hot,337,1,487
cost,338,1,489
movie,339,1,490
march,340,1,492
september,341,1,494
better,342,1,495
say,343,1,496
july,344,1,498
admire,345,1,0
airtight,346,1,0
airway,347,1,0
aisle,348,1,0
aloud,349,1,0
alphabet,350,1,0
altogether,351,1,0
ambulance,352,1,0
ankle,353,1,0
apologize,354,1,0
apprentice,355,1,0
armchair,356,1,0
asleep,357,1,0
assemble,358,1,0
aunt,359,1,0
authoritative,360,1,0
autograph,361,1,0
autonomy,362,1,0
avert,363,1,0
awaken,364,1,0
awe,365,1,0
babysit,366,1,0
babysitter,367,1,0
backward,368,1,0
badminton,369,1,0
bake,370,1,0
bakery,371,1,0
balcony,372,1,0
banker,373,1,0
barbecue,374,1,0
barber,375,1,0
bark,376,1,0
bathe,377,1,0
beard,378,1,0
beautify,379,1,0
beep,380,1,0
behave,381,1,0
belongings,382,1,0
bitter,383,1,0
blackboard,384,1,0
blouse,385,1,0
boil,386,1,0
bookcase,387,1,0
borrow,388,1,0
brace,389,1,0
brassierebra,390,1,0
bravery,391,1,0
brunch,392,1,0
bucket,393,1,0
buffet,394,1,0
bun,395,1,0
businessperson,396,1,0
cabbage,397,1,0
cafeteria,398,1,0
capitalist,399,1,0
