word,unified_rank,moe_level,ngsl_rank
the,1,0,1
of,2,0,2
and,3,0,3
to,4,0,4
in,6,0,6
for,7,0,7
is,8,0,8
on,9,0,9
that,10,0,10
by,11,0,11
this,12,0,12
with,13,0,13
you,15,0,15
it,16,0,16
not,17,0,17
or,18,0,18
be,19,0,19
are,20,0,20
from,21,0,21
at,22,0,22
as,23,0,23
your,24,0,24
all,25,0,25
have,26,0,26
new,27,0,27
more,28,0,28
an,29,0,29
was,30,0,30
we,31,0,31
will,32,0,32
home,33,0,33
can,34,0,34
us,35,0,35
about,36,0,36
if,37,0,37
page,38,0,38
my,39,0,39
has,40,0,40
search,41,0,41
free,42,0,42
but,43,0,43
our,44,0,44
one,45,0,45
other,46,0,46
do,47,0,47
no,48,0,48
information,49,0,49
time,50,0,50
they,51,0,51
site,52,0,52
he,53,0,53
up,54,0,54
may,55,0,55
what,56,0,56
which,57,0,57
their,58,0,58
news,59,0,59
out,60,0,60
use,61,0,61
any,62,0,62
there,63,0,63
see,64,0,64
only,65,0,65
so,66,0,66
his,67,0,67
when,68,0,68
contact,69,0,69
here,70,0,70
business,71,0,71
who,72,0,72
web,73,0,73
also,74,0,74
now,75,0,75
help,76,0,76
get,77,0,77
pm,78,0,78
view,79,0,79
online,80,0,80
first,83,0,83
am,84,0,84
been,85,0,85
would,86,0,86
how,87,0,87
were,88,0,88
me,89,0,89
services,91,0,91
some,92,0,92
these,93,0,93
click,94,0,94
its,95,0,95
like,96,0,96
service,97,0,97
than,99,0,99
find,100,0,100
price,101,0,101
date,102,0,102
back,103,0,103
top,104,0,104
people,105,0,105
had,106,0,106
list,107,0,107
name,108,0,108
just,109,0,109
over,110,0,110
state,111,0,111
year,112,0,112
day,113,0,113
into,114,0,114
email,115,0,115
two,116,0,116
health,117,0,117
world,119,0,119
re,120,0,120
next,121,0,121
used,122,0,122
go,123,0,123
work,125,0,125
last,126,0,126
most,127,0,127
products,128,0,128
music,129,0,129
buy,130,0,130
data,131,0,131
make,132,0,132
them,133,0,133
should,134,0,134
product,135,0,135
system,136,0,136
post,137,0,137
her,138,0,138
city,139,0,139
add,141,0,141
policy,142,0,142
number,143,0,143
such,144,0,144
please,145,0,145
available,146,0,146
copyright,147,0,147
support,148,0,148
message,149,0,149
after,150,0,150
best,151,0,151
software,152,0,152
then,153,0,153
jan,154,0,154
good,155,0,155
video,156,0,156
well,157,0,157
where,159,0,159
info,160,0,160
rights,161,0,161
public,162,0,162
books,163,0,163
high,164,0,164
school,165,0,165
through,166,0,166
each,168,0,168
links,169,0,169
she,170,0,170
review,171,0,171
years,172,0,172
order,173,0,173
very,174,0,174
privacy,175,0,175
book,176,0,176
items,177,0,177
company,178,0,178
read,180,0,180
group,181,0,181
sex,182,0,182
need,183,0,183
many,184,0,184
user,185,0,185
said,186,0,186
de,187,0,187
does,188,0,188
set,189,0,189
under,190,0,190
general,191,0,191
research,192,0,192
university,193,0,193
january,194,0,194
mail,195,0,195
full,196,0,196
map,197,0,197
reviews,198,0,198
program,199,0,199
life,200,0,200
know,201,0,201
games,202,0,202
way,203,0,203
days,204,0,204
management,205,0,205
part,207,0,207
could,208,0,208
great,209,0,209
united,210,0,210
hotel,211,0,211
real,212,0,212
item,214,0,214
international,215,0,215
center,216,0,216
ebay,217,0,217
must,218,0,218
store,219,0,219
travel,220,0,220
comments,221,0,221
made,222,0,222
development,223,0,223
report,224,0,224
off,225,0,225
member,226,0,226
details,227,0,227
line,228,0,228
terms,229,0,229
before,230,0,230
hotels,231,0,231
did,232,0,232
send,233,0,233
right,234,0,234
type,235,0,235
because,236,0,236
local,237,0,237
those,238,0,238
using,239,0,239
results,240,0,240
office,241,0,241
education,242,0,242
national,243,0,243
car,244,0,244
design,245,0,245
take,246,0,246
posted,247,0,247
internet,248,0,248
address,249,0,249
community,250,0,250
within,251,0,251
states,252,0,252
area,253,0,253
want,254,0,254
phone,255,0,255
dvd,256,0,256
shipping,257,0,257
reserved,258,0,258
subject,259,0,259
between,260,0,260
forum,261,0,261
family,262,0,262
long,264,0,264
based,265,0,265
code,267,0,267
show,268,0,268
even,270,0,270
black,271,0,271
check,272,0,272
special,273,0,273
prices,274,0,274
website,275,0,275
index,276,0,276
being,277,0,277
women,278,0,278
much,279,0,279
sign,280,0,280
file,281,0,281
link,282,0,282
open,283,0,283
today,284,0,284
technology,285,0,285
south,286,0,286
case,287,0,287
project,288,0,288
same,289,0,289
pages,290,0,290
uk,291,0,291
version,292,0,292
section,293,0,293
own,294,0,294
found,295,0,295
sports,296,0,296
house,297,0,297
related,298,0,298
security,299,0,299
both,300,0,300
county,302,0,302
american,303,0,303
photo,304,0,304
game,305,0,305
members,306,0,306
power,307,0,307
while,308,0,308
care,309,0,309
network,310,0,310
down,311,0,311
computer,312,0,312
systems,313,0,313
three,314,0,314
total,315,0,315
place,316,0,316
end,317,0,317
following,318,0,318
download,319,0,319
him,321,0,321
without,322,0,322
per,323,0,323
access,324,0,324
think,325,0,325
north,326,0,326
resources,327,0,327
current,328,0,328
posts,329,0,329
big,330,0,330
media,331,0,331
law,332,0,332
control,333,0,333
water,334,0,334
history,335,0,335
pictures,336,0,336
size,337,0,337
art,338,0,338
personal,339,0,339
since,340,0,340
including,341,0,341
guide,342,0,342
shop,343,0,343
directory,344,0,344
board,345,0,345
location,346,0,346
change,347,0,347
white,348,0,348
text,349,0,349
small,350,0,350
rating,351,0,351
rate,352,0,352
government,353,0,353
children,354,0,354
during,355,0,355
usa,356,0,356
return,357,0,357
students,358,0,358
shopping,360,0,360
account,361,0,361
times,362,0,362
sites,363,0,363
level,364,0,364
digital,365,0,365
profile,366,0,366
previous,367,0,367
form,368,0,368
events,369,0,369
love,370,0,370
old,371,0,371
john,372,0,372
main,373,0,373
call,374,0,374
hours,375,0,375
image,376,0,376
department,377,0,377
title,378,0,378
description,379,0,379
non,380,0,380
insurance,383,0,383
another,384,0,384
why,385,0,385
shall,386,0,386
property,387,0,387
class,388,0,388
cd,389,0,389
still,390,0,390
money,391,0,391
quality,392,0,392
every,393,0,393
listing,394,0,394
content,395,0,395
country,396,0,396
private,397,0,397
little,398,0,398
visit,399,0,399
save,400,0,400
tools,401,0,401
low,402,0,402
reply,403,0,403
customer,404,0,404
december,405,0,405
compare,406,0,406
movies,407,0,407
include,408,0,408
college,409,0,409
value,410,0,410
article,411,0,411
york,412,0,412
man,413,0,413
card,414,0,414
jobs,415,0,415
provide,416,0,416
food,418,0,418
source,419,0,419
author,420,0,420
different,421,0,421
press,422,0,422
learn,424,0,424
sale,425,0,425
around,426,0,426
print,427,0,427
course,428,0,428
job,429,0,429
canada,430,0,430
process,431,0,431
teen,432,0,432
room,433,0,433
stock,434,0,434
training,435,0,435
too,436,0,436
credit,437,0,437
point,438,0,438
join,439,0,439
science,440,0,440
men,441,0,441
categories,442,0,442
advanced,443,0,443
west,444,0,444
sales,445,0,445
look,446,0,446
english,447,0,447
left,448,0,448
team,449,0,449
estate,450,0,450
box,451,0,451
conditions,452,0,452
select,453,0,453
windows,454,0,454
photos,455,0,455
gay,456,0,456
thread,457,0,457
week,458,0,458
category,459,0,459
note,460,0,460
live,461,0,461
large,462,0,462
gallery,463,0,463
table,464,0,464
register,465,0,465
however,466,0,466
june,467,0,467
october,468,0,468
november,469,0,469
market,470,0,470
library,471,0,471
really,472,0,472
action,473,0,473
start,474,0,474
series,475,0,475
model,476,0,476
features,477,0,477
air,478,0,478
industry,479,0,479
plan,480,0,480
human,481,0,481
provided,482,0,482
tv,483,0,483
yes,484,0,484
required,485,0,485
second,486,0,486
hot,487,0,487
accessories,488,0,488
cost,489,0,489
movie,490,0,490
forums,491,0,491
march,492,0,492
la,493,0,493
september,494,0,494
better,495,0,495
say,496,0,496
questions,497,0,497
july,498,0,498
yahoo,499,0,499
going,500,0,500
medical,501,0,501
test,502,0,502
friend,503,0,503
come,504,0,504
dec,505,0,505
server,506,0,506
pc,507,0,507
study,508,0,508
application,509,0,509
cart,510,0,510
staff,511,0,511
articles,512,0,512
san,513,0,513
feedback,514,0,514
again,515,0,515
