word,unified_rank,moe_level,ngsl_rank
the,0.8,1,1
of,1.6,1,2
and,2.4000000000000004,1,3
to,3.2,1,4
in,4.800000000000001,1,6
for,5.6000000000000005,1,7
on,7.2,1,9
that,8.0,1,10
by,8.8,1,11
this,9.600000000000001,1,12
with,10.4,1,13
i,11.200000000000001,1,14
you,12.0,1,15
it,12.8,1,16
not,13.600000000000001,1,17
or,14.4,1,18
be,15.200000000000001,1,19
are,16.0,1,20
from,16.8,1,21
at,17.6,1,22
as,18.400000000000002,1,23
your,19.200000000000003,1,24
all,20.0,1,25
have,20.8,1,26
new,21.6,1,27
more,22.400000000000002,1,28
we,24.8,1,31
will,25.6,1,32
home,26.400000000000002,1,33
can,27.200000000000003,1,34
us,28.0,1,35
about,28.8,1,36
if,29.6,1,37
page,30.400000000000002,1,38
my,31.200000000000003,1,39
has,32.0,1,40
search,32.800000000000004,1,41
free,33.6,1,42
but,34.4,1,43
our,35.2,1,44
one,36.0,1,45
other,36.800000000000004,1,46
do,37.6,1,47
no,38.400000000000006,1,48
information,39.2,1,49
time,40.0,1,50
they,40.800000000000004,1,51
site,41.6,1,52
he,42.400000000000006,1,53
up,43.2,1,54
may,44.0,1,55
what,44.800000000000004,1,56
which,45.6,1,57
their,46.400000000000006,1,58
news,47.2,1,59
out,48.0,1,60
use,48.800000000000004,1,61
any,49.6,1,62
there,50.400000000000006,1,63
see,51.2,1,64
only,52.0,1,65
so,52.800000000000004,1,66
his,53.6,1,67
when,54.400000000000006,1,68
contact,55.2,1,69
here,56.0,1,70
business,56.800000000000004,1,71
who,57.6,1,72
web,58.400000000000006,1,73
also,59.2,1,74
now,60.0,1,75
help,60.800000000000004,1,76
get,61.6,1,77
view,63.2,1,79
online,64.0,1,80
first,66.4,1,83
am,67.2,1,84
been,68.0,1,85
would,68.8,1,86
how,69.60000000000001,1,87
me,71.2,1,89
some,73.60000000000001,1,92
these,74.4,1,93
click,75.2,1,94
its,76.0,1,95
like,76.80000000000001,1,96
service,77.60000000000001,1,97
than,79.2,1,99
find,80.0,1,100
price,80.80000000000001,1,101
date,81.60000000000001,1,102
back,82.4,1,103
top,83.2,1,104
people,84.0,1,105
had,84.80000000000001,1,106
list,85.60000000000001,1,107
name,86.4,1,108
just,87.2,1,109
over,88.0,1,110
state,88.80000000000001,1,111
year,89.60000000000001,1,112
day,90.4,1,113
into,91.2,1,114
email,92.0,1,115
two,92.80000000000001,1,116
health,93.60000000000001,1,117
