word,moe_level
ability,1
able,1
about,1
above,1
abroad,1
absent,1
accept,1
accident,1
according,1
across,1
act,1
action,1
active,1
activity,1
actor,1
actress,1
actually,1
add,1
addition,1
address,1
adjacent,1
admire,1
admit,1
adopt,1
adult,1
advance,1
advantage,1
adventure,1
advertisement,1
advice,1
advise,1
affair,1
afraid,1
after,1
afternoon,1
again,1
against,1
age,1
ago,1
agree,1
agricultural,1
agriculture,1
ahead,1
aid,1
aim,1
air,1
aircraft,1
airline,1
airplane,1
airport,1
airtight,1
airway,1
aisle,1
alarm,1
album,1
alike,1
alive,1
all,1
allow,1
almost,1
alone,1
along,1
aloud,1
alphabet,1
already,1
also,1
although,1
altogether,1
always,1
am,1
ambulance,1
america,1
american,1
among,1
amount,1
ancient,1
and,1
angel,1
anger,1
angry,1
animal,1
ankle,1
another,1
answer,1
ant,1
any,1
anybody,1
anymore,1
anyone,1
anything,1
anytime,1
anyway,1
anywhere,1
apartment,1
apologize,1
appear,1
appearance,1
apple,1
appliance,1
apply,1
appreciate,1
apprentice,1
approach,1
april,1
are,1
area,1
argue,1
arm,1
armchair,1
army,1
around,1
arrange,1
arrest,1
arrive,1
art,1
article,1
artist,1
as,1
asia,1
asian,1
ask,1
asleep,1
assemble,1
assess,1
assistant,1
assume,1
at,1
attack,1
attend,1
attention,1
audience,1
august,1
aunt,1
australia,1
authoritative,1
authority,1
autograph,1
automatic,1
autonomy,1
autumn,1
available,1
avenue,1
avert,1
avoid,1
awaken,1
award,1
away,1
awe,1
awesome,1
baby,1
babysit,1
babysitter,1
back,1
backward,1
bad,1
badly,1
badminton,1
bag,1
bake,1
bakery,1
balcony,1
ball,1
balloon,1
banana,1
band,1
bank,1
banker,1
bar,1
barbecue,1
barber,1
bark,1
base,1
baseball,1
basement,1
basic,1
basis,1
basket,1
basketball,1
bat,1
bath,1
bathe,1
bathroom,1
be,1
beach,1
bean,1
bear,1
beard,1
beat,1
beautiful,1
beautify,1
because,1
become,1
bed,1
bedroom,1
bee,1
beef,1
beep,1
beer,1
before,1
begin,1
beginner,1
beginning,1
behalf,1
behave,1
behind,1
belief,1
believe,1
bell,1
belong,1
belongings,1
below,1
belt,1
bench,1
beneficial,1
benefit,1
beside,1
besides,1
best,1
better,1
between,1
beyond,1
bicycle,1
big,1
bill,1
biology,1
bird,1
birthday,1
bit,1
bite,1
bitter,1
black,1
blackboard,1
blame,1
blank,1
blanket,1
blind,1
block,1
blood,1
blouse,1
blow,1
blue,1
board,1
boat,1
body,1
boil,1
bomb,1
bone,1
book,1
bookcase,1
bookstore,1
bored,1
boring,1
born,1
borrow,1
boss,1
both,1
bother,1
bottle,1
bottom,1
bow,1
bowl,1
bowling,1
box,1
boy,1
brace,1
brain,1
branch,1
brand,1
brassierebra,1
brave,1
bravery,1
bread,1
break,1
breakfast,1
breast,1
breath,1
brick,1
bridge,1
bright,1
bring,1
britain,1
broad,1
broadcast,1
brother,1
brown,1
brunch,1
brush,1
bucket,1
buffet,1
bug,1
build,1
building,1
bun,1
bundle,1
burn,1
burst,1
bus,1
business,1
businessperson,1
busy,1
but,1
butter,1
butterfly,1
button,1
buy,1
by,1
cabbage,1
cabinet,1
cable,1
cafe,1
cafeteria,1
cage,1
cake,1
calendar,1
call,1
calm,1
camel,1
camera,1
camp,1
campus,1
can,1
canada,1
canal,1
cancel,1
cancer,1
candle,1
candy,1
canyon,1
cap,1
cape,1
capitalist,1
captain,1
car,1
card,1
care,1
career,1
careful,1
careless,1
carpet,1
carrot,1
carry,1
cartoon,1
case,1
cash,1
castle,1
cat,1
catch,1
cause,1
cd,1
ceiling,1
celebrate,1
cell,1
cellphone,1
cent,1
center,1
centimeter,1
central,1
century,1
cereal,1
certain,1
certainly,1
chair,1
chairperson,1
chalk,1
chance,1
change,1
channel,1
character,1
charge,1
chart,1
chase,1
chat,1
cheap,1
cheat,1
check,1
cheek,1
cheer,1
cheerful,1
cheese,1
chemical,1
cherry,1
chess,1
chicken,1
chief,1
child,1
childhood,1
childish,1
childlike,1
chin,1
china,1
chinese,1
chocolate,1
choice,1
choose,1
chopstick,1
christmas,1
chubby,1
church,1
circle,1
citizen,1
city,1
claim,1
clap,1
class,1
classic,1
classical,1
classmate,1
classroom,1
clean,1
clear,1
clerk,1
clever,1
click,1
climate,1
climb,1
clock,1
close,1
closet,1
clothes,1
cloudy,1
club,1
coach,1
coast,1
coat,1
cockroach,1
coffee,1
coin,1
coke,1
cola,1
cold,1
collapse,1
colleague,1
collect,1
collection,1
college,1
color,1
colorful,1
comb,1
come,1
comfortable,1
comic,1
command,1
common,1
company,1
compare,1
compile,1
complain,1
complete,1
computer,1
conceive,1
concept,1
conception,1
concern,1
confident,1
confirm,1
confucius,1
confuse,1
congratulation,1
consider,1
consist,1
constitute,1
contact,1
contain,1
context,1
continue,1
contract,1
contrary,1
control,1
convenience,1
convenient,1
conversation,1
convict,1
convince,1
cook,1
cookie,1
cool,1
copy,1
corn,1
corner,1
correct,1
cost,1
cotton,1
couch,1
cough,1
could,1
count,1
country,1
countryside,1
county,1
couple,1
courage,1
course,1
court,1
cousin,1
cover,1
cow,1
coxhead,1
crab,1
crayon,1
crazy,1
cream,1
create,1
credit,1
crime,1
crisis,1
criticism,1
crocodile,1
crop,1
cross,1
crowd,1
crowded,1
cruel,1
cruelty,1
cry,1
cumulative,1
cup,1
cure,1
curious,1
current,1
curtain,1
curve,1
custom,1
customer,1
cut,1
cute,1
dad,1
daily,1
damage,1
dance,1
danger,1
dangerous,1
dark,1
data,1
date,1
daughter,1
dawn,1
day,1
dead,1
deaf,1
deal,1
dear,1
death,1
debt,1
december,1
decide,1
decision,1
decorate,1
decrease,1
deep,1
deer,1
define,1
degree,1
delay,1
delicious,1
deliver,1
democracy,1
democratic,1
demonstrate,1
dental,1
dentist,1
deny,1
department,1
depend,1
depress,1
derive,1
describe,1
desert,1
desire,1
desk,1
dessert,1
determine,1
develop,1
dial,1
diamond,1
diary,1
dictionary,1
die,1
diet,1
difference,1
different,1
difficult,1
difficulty,1
dig,1
diligent,1
dining,1
dinner,1
dinosaur,1
diplomat,1
direct,1
direction,1
director,1
dirty,1
disable,1
disappear,1
disapprove,1
disaster,1
disastrous,1
discouragement,1
discover,1
discuss,1
discussion,1
dish,1
dishonest,1
distance,1
distribute,1
distributed,1
divide,1
division,1
dizzy,1
do,1
doctor,1
dodge,1
dog,1
doll,1
dollar,1
dolphin,1
donkey,1
door,1
dot,1
double,1
doubt,1
doughnut,1
down,1
download,1
downstairs,1
downtown,1
dozen,1
dragon,1
drama,1
draw,1
drawer,1
dream,1
dress,1
dresser,1
drift,1
drink,1
drive,1
driver,1
drop,1
drug,1
drugstore,1
drum,1
dry,1
dryer,1
duck,1
dumb,1
dumpling,1
during,1
duty,1
each,1
eagle,1
ear,1
early,1
earn,1
earth,1
east,1
easter,1
eastern,1
easy,1
eat,1
economic,1
economy,1
edge,1
education,1
effect,1
effective,1
effort,1
egg,1
eight,1
eighteen,1
eighty,1
either,1
elder,1
elect,1
election,1
electric,1
elementary,1
elephant,1
eleven,1
else,1
email,1
embarrass,1
embrace,1
emotion,1
emphasize,1
employ,1
empty,1
encounter,1
encourage,1
end,1
enemy,1
engine,1
engineer,1
england,1
english,1
enjoy,1
enormous,1
enough,1
enter,1
entire,1
entrance,1
envelope,1
environment,1
environmental,1
envy,1
equal,1
eraser,1
especially,1
establish,1
estimate,1
eternity,1
europe,1
european,1
eve,1
even,1
evening,1
event,1
ever,1
every,1
everybody,1
everyone,1
everything,1
everywhere,1
evidence,1
evident,1
evil,1
exact,1
exam,1
examinationexam,1
examine,1
example,1
exceed,1
excel,1
excellent,1
except,1
excite,1
excuse,1
exercise,1
exist,1
exit,1
expect,1
expensive,1
experience,1
explain,1
export,1
express,1
extra,1
eye,1
face,1
fact,1
faction,1
factor,1
factory,1
faculty,1
fade,1
fail,1
failure,1
faint,1
fair,1
fairy,1
faith,1
faithful,1
fake,1
fall,1
false,1
family,1
famous,1
fan,1
fancy,1
fantastic,1
far,1
farm,1
farmer,1
fashion,1
fashionable,1
fast,1
fat,1
father,1
faucet,1
fault,1
favor,1
favorite,1
fear,1
february,1
feed,1
feel,1
feeling,1
fellow,1
female,1
fence,1
festival,1
fever,1
few,1
field,1
fifteen,1
fifty,1
fight,1
figure,1
fill,1
film,1
finance,1
find,1
fine,1
finger,1
finish,1
fire,1
firm,1
first,1
fish,1
fisherman,1
fit,1
five,1
fix,1
flag,1
flashlight,1
flat,1
flight,1
floor,1
flour,1
flourish,1
flow,1
flower,1
flu,1
flush,1
flute,1
fly,1
