word,score,sources,cefr_rank,taiwan_rank,corpus_rank
about,0.9987,"CEFR,Corpus,Taiwan",4.0,5,36
add,0.9917,"CEFR,Corpus,Taiwan",4.0,56,141
all,0.9906,"CEFR,Corpus,Taiwan",4.0,118,25
after,0.9889,"CEFR,Corpus,Taiwan",4.0,90,150
access,0.9889,"CEFR,Corpus,Taiwan",4.0,20,324
address,0.9882,"CEFR,Corpus,Taiwan",4.0,60,249
and,0.988,"CEFR,Corpus,Taiwan",4.0,162,3
also,0.9879,"CEFR,Corpus,Taiwan",4.0,135,74
account,0.9871,"CEFR,Corpus,Taiwan",4.0,29,361
am,0.9871,"CEFR,Corpus,Taiwan",4.0,142,84
any,0.9843,"CEFR,Corpus,Taiwan",4.0,188,62
above,0.9832,"CEFR,Corpus,Taiwan",4.0,6,547
action,0.9827,"CEFR,Corpus,Taiwan",4.0,44,473
advanced,0.9813,"CEFR,Corpus,Taiwan",4.0,74,443
as,0.9807,"CEFR,Corpus,Taiwan",4.0,252,23
act,0.9804,"CEFR,Corpus,Taiwan",4.0,43,552
at,0.9792,"CEFR,Corpus,Taiwan",4.0,273,22
additional,0.9782,"CEFR,Corpus,Taiwan",4.0,59,585
able,0.978,"CEFR,Corpus,Taiwan",4.0,4,727
again,0.9778,"CEFR,Corpus,Taiwan",4.0,93,515
air,0.9778,"CEFR,Corpus,Taiwan",4.0,108,478
against,0.9773,"CEFR,Corpus,Taiwan",4.0,94,529
area,0.9758,"CEFR,Corpus,Taiwan",4.0,225,253
age,0.9757,"CEFR,Corpus,Taiwan",4.0,95,580
another,0.9753,"CEFR,Corpus,Taiwan",4.0,179,384
be,0.9734,"CEFR,Corpus,Taiwan",4.0,352,19
back,0.9734,"CEFR,Corpus,Taiwan",4.0,319,103
available,0.973,"CEFR,Corpus,Taiwan",4.0,306,146
art,0.972,"CEFR,Corpus,Taiwan",4.0,242,338
always,0.9714,"CEFR,Corpus,Taiwan",4.0,141,610
agreement,0.9712,"CEFR,Corpus,Taiwan",4.0,104,708
adult,0.9701,"CEFR,Corpus,Taiwan",4.0,72,821
around,0.97,"CEFR,Corpus,Taiwan",4.0,234,426
article,0.9698,"CEFR,Corpus,Taiwan",4.0,243,411
application,0.9697,"CEFR,Corpus,Taiwan",4.0,204,509
analysis,0.9695,"CEFR,Corpus,Taiwan",4.0,160,626
ago,0.9683,"CEFR,Corpus,Taiwan",4.0,102,808
april,0.9682,"CEFR,Corpus,Taiwan",4.0,220,519
already,0.9682,"CEFR,Corpus,Taiwan",4.0,134,732
active,0.9681,"CEFR,Corpus,Taiwan",4.0,46,954
advertising,0.9675,"CEFR,Corpus,Taiwan",4.0,80,890
based,0.9669,"CEFR,Corpus,Taiwan",4.0,341,265
best,0.9664,"CEFR,Corpus,Taiwan",4.0,393,151
because,0.9662,"CEFR,Corpus,Taiwan",4.0,362,236
activity,0.966,"CEFR,Corpus,Taiwan",4.0,49,1015
before,0.9658,"CEFR,Corpus,Taiwan",4.0,370,230
author,0.9655,"CEFR,Corpus,Taiwan",4.0,297,420
across,0.9653,"CEFR,Corpus,Taiwan",4.0,42,1057
ad,0.9652,"CEFR,Corpus,Taiwan",4.0,54,1029
advertise,0.9647,"CEFR,Corpus,Taiwan",4.0,78,986
addition,0.9629,"CEFR,Corpus,Taiwan",4.0,58,1096
between,0.9629,"CEFR,Corpus,Taiwan",4.0,397,260
amount,0.9627,"CEFR,Corpus,Taiwan",4.0,153,870
agency,0.9625,"CEFR,Corpus,Taiwan",4.0,98,1011
book,0.9624,"CEFR,Corpus,Taiwan",4.0,438,176
along,0.9617,"CEFR,Corpus,Taiwan",4.0,128,965
august,0.9616,"CEFR,Corpus,Taiwan",4.0,293,560
actually,0.9615,"CEFR,Corpus,Taiwan",4.0,53,1156
black,0.9611,"CEFR,Corpus,Taiwan",4.0,416,271
by,0.9605,"CEFR,Corpus,Taiwan",4.0,530,11
big,0.9604,"CEFR,Corpus,Taiwan",4.0,402,330
advice,0.9604,"CEFR,Corpus,Taiwan",4.0,81,1124
but,0.96,"CEFR,Corpus,Taiwan",4.0,524,43
among,0.9599,"CEFR,Corpus,Taiwan",4.0,152,966
business,0.9594,"CEFR,Corpus,Taiwan",4.0,520,71
although,0.9593,"CEFR,Corpus,Taiwan",4.0,139,1017
annual,0.9587,"CEFR,Corpus,Taiwan",4.0,177,942
ask,0.9585,"CEFR,Corpus,Taiwan",4.0,258,749
association,0.9583,"CEFR,Corpus,Taiwan",4.0,270,726
board,0.9579,"CEFR,Corpus,Taiwan",4.0,430,345
can,0.9579,"CEFR,Corpus,Taiwan",4.0,556,34
both,0.9578,"CEFR,Corpus,Taiwan",4.0,449,300
accommodation,0.9578,"CEFR,Corpus,Taiwan",4.0,25,1349
buy,0.9571,"CEFR,Corpus,Taiwan",4.0,527,130
baby,0.9565,"CEFR,Corpus,Taiwan",4.0,318,669
airport,0.9563,"CEFR,Corpus,Taiwan",4.0,110,1187
better,0.956,"CEFR,Corpus,Taiwan",4.0,395,495
away,0.9559,"CEFR,Corpus,Taiwan",4.0,313,699
below,0.9556,"CEFR,Corpus,Taiwan",4.0,385,533
allow,0.9551,"CEFR,Corpus,Taiwan",4.0,120,1202
almost,0.9543,"CEFR,Corpus,Taiwan",4.0,126,1214
average,0.9541,"CEFR,Corpus,Taiwan",4.0,307,774
anything,0.954,"CEFR,Corpus,Taiwan",4.0,191,1065
academic,0.9538,"CEFR,Corpus,Taiwan",4.0,15,1506
become,0.9536,"CEFR,Corpus,Taiwan",4.0,364,652
anyone,0.9535,"CEFR,Corpus,Taiwan",4.0,190,1084
apply,0.9529,"CEFR,Corpus,Taiwan",4.0,207,1061
box,0.9528,"CEFR,Corpus,Taiwan",4.0,455,451
ability,0.9522,"CEFR,Corpus,Taiwan",4.0,3,1589
beach,0.9512,"CEFR,Corpus,Taiwan",4.0,353,757
body,0.9508,"CEFR,Corpus,Taiwan",4.0,434,570
bad,0.9508,"CEFR,Corpus,Taiwan",4.0,325,841
car,0.9505,"CEFR,Corpus,Taiwan",4.0,571,244
appropriate,0.9498,"CEFR,Corpus,Taiwan",4.0,212,1152
blue,0.9498,"CEFR,Corpus,Taiwan",4.0,429,618
agent,0.9495,"CEFR,Corpus,Taiwan",4.0,99,1441
answer,0.9492,"CEFR,Corpus,Taiwan",4.0,180,1251
bank,0.9489,"CEFR,Corpus,Taiwan",4.0,336,875
call,0.9489,"CEFR,Corpus,Taiwan",4.0,539,374
animal,0.9488,"CEFR,Corpus,Taiwan",4.0,168,1294
care,0.9482,"CEFR,Corpus,Taiwan",4.0,575,309
case,0.9477,"CEFR,Corpus,Taiwan",4.0,591,287
approach,0.9465,"CEFR,Corpus,Taiwan",4.0,211,1266
basic,0.9463,"CEFR,Corpus,Taiwan",4.0,343,945
artist,0.9461,"CEFR,Corpus,Taiwan",4.0,247,1189
beauty,0.9458,"CEFR,Corpus,Taiwan",4.0,361,918
bill,0.9458,"CEFR,Corpus,Taiwan",4.0,404,813
alternative,0.9454,"CEFR,Corpus,Taiwan",4.0,137,1485
card,0.9453,"CEFR,Corpus,Taiwan",4.0,572,414
base,0.9453,"CEFR,Corpus,Taiwan",4.0,340,988
click,0.9451,"CEFR,Corpus,Taiwan",4.0,704,94
city,0.9448,"CEFR,Corpus,Taiwan",4.0,690,139
building,0.9444,"CEFR,Corpus,Taiwan",4.0,506,606
check,0.9439,"CEFR,Corpus,Taiwan",4.0,648,272
bar,0.9439,"CEFR,Corpus,Taiwan",4.0,337,1042
cd,0.9437,"CEFR,Corpus,Taiwan",4.0,604,389
bay,0.9433,"CEFR,Corpus,Taiwan",4.0,351,1026
change,0.9431,"CEFR,Corpus,Taiwan",4.0,629,347
associated,0.943,"CEFR,Corpus,Taiwan",4.0,268,1241
aid,0.9427,"CEFR,Corpus,Taiwan",4.0,106,1652
accept,0.9421,"CEFR,Corpus,Taiwan",4.0,17,1893
category,0.9417,"CEFR,Corpus,Taiwan",4.0,602,459
agree,0.9404,"CEFR,Corpus,Taiwan",4.0,103,1734
band,0.9402,"CEFR,Corpus,Taiwan",4.0,334,1173
bit,0.9401,"CEFR,Corpus,Taiwan",4.0,412,982
believe,0.9399,"CEFR,Corpus,Taiwan",4.0,380,1069
advance,0.9396,"CEFR,Corpus,Taiwan",4.0,73,1837
actual,0.9386,"CEFR,Corpus,Taiwan",4.0,52,1920
code,0.9384,"CEFR,Corpus,Taiwan",4.0,725,267
called,0.9377,"CEFR,Corpus,Taiwan",4.0,541,745
company,0.9371,"CEFR,Corpus,Taiwan",4.0,778,178
class,0.937,"CEFR,Corpus,Taiwan",4.0,694,388
brand,0.9367,"CEFR,Corpus,Taiwan",4.0,461,974
bid,0.9362,"CEFR,Corpus,Taiwan",4.0,401,1138
award,0.9361,"CEFR,Corpus,Taiwan",4.0,310,1367
apple,0.9358,"CEFR,Corpus,Taiwan",4.0,203,1643
contact,0.9355,"CEFR,Corpus,Taiwan",4.0,843,69
assistance,0.9352,"CEFR,Corpus,Taiwan",4.0,265,1507
bed,0.9352,"CEFR,Corpus,Taiwan",4.0,365,1260
authority,0.9351,"CEFR,Corpus,Taiwan",4.0,298,1431
community,0.9351,"CEFR,Corpus,Taiwan",4.0,776,250
cell,0.9341,"CEFR,Corpus,Taiwan",4.0,609,695
central,0.9339,"CEFR,Corpus,Taiwan",4.0,615,686
basis,0.9337,"CEFR,Corpus,Taiwan",4.0,345,1361
college,0.9334,"CEFR,Corpus,Taiwan",4.0,734,409
camera,0.9323,"CEFR,Corpus,Taiwan",4.0,550,900
abuse,0.9323,"CEFR,Corpus,Taiwan",4.0,14,2225
computer,0.932,"CEFR,Corpus,Taiwan",4.0,793,312
beautiful,0.9316,"CEFR,Corpus,Taiwan",4.0,359,1397
build,0.9312,"CEFR,Corpus,Taiwan",4.0,505,1048
child,0.9309,"CEFR,Corpus,Taiwan",4.0,668,655
compare,0.9302,"CEFR,Corpus,Taiwan",4.0,779,406
come,0.9298,"CEFR,Corpus,Taiwan",4.0,744,504
centre,0.9297,"CEFR,Corpus,Taiwan",4.0,616,824
club,0.9293,"CEFR,Corpus,Taiwan",4.0,720,582
alone,0.9291,"CEFR,Corpus,Taiwan",4.0,127,2054
blood,0.9289,"CEFR,Corpus,Taiwan",4.0,425,1323
background,0.9289,"CEFR,Corpus,Taiwan",4.0,320,1583
bush,0.928,"CEFR,Corpus,Taiwan",4.0,519,1122
appear,0.928,"CEFR,Corpus,Taiwan",4.0,201,1908
could,0.928,"CEFR,Corpus,Taiwan",4.0,889,208
comment,0.9279,"CEFR,Corpus,Taiwan",4.0,762,525
army,0.9276,"CEFR,Corpus,Taiwan",4.0,233,1840
cheap,0.9276,"CEFR,Corpus,Taiwan",4.0,644,827
bin,0.9267,"CEFR,Corpus,Taiwan",4.0,406,1443
cable,0.9263,"CEFR,Corpus,Taiwan",4.0,533,1143
behind,0.9263,"CEFR,Corpus,Taiwan",4.0,376,1531
control,0.9263,"CEFR,Corpus,Taiwan",4.0,861,333
